Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Wind Speed
br,lapao,-11.4,-41.833333,78.09,58,56,,8.1
ch,menziken,47.242487,8.19047,48.2,93,8,,1.12
in,ziro,27.633333,93.833333,53.61,100,100,,1.72
za,greytown,-29.064155,30.592786,47.35,96,44,,1.39
ph,punol,7.05,124.58333300000001,75.12,96,88,,3.18
de,wolgast,54.05,13.766667000000002,49.24,100,0,,10.33
ec,valdez,1.2491667,-78.9830556,78.18,98,48,,9.66
sk,revuca,48.6833333,20.1166667,42.8,87,0,,6.93
it,orbetello,42.45,11.216667,60.8,87,0,,2.24
tr,kastamonu,41.378052000000004,33.775275,42.09,87,8,,2.62
nz,ruatoria,-37.883333,178.333333,63.1,60,0,,0.72
in,kiranur,10.566667,78.783333,77,94,20,,6.98
br,alto longa,-5.25,-42.2,75.21,76,8,,3.18
ru,kurush,41.28413,47.834536,35.88,84,8,,3.18
us,azusa,34.1336111,-117.90666670000002,84.11,17,5,,8.05
dm,castle bruce,15.433333300000001,-61.2666667,73.4,94,40,,4.7
ua,bila krynytsya,50.639818,29.470409000000004,46.4,100,8,,2.84
sa,umm lajj,25.021264000000002,37.268502000000005,72.78,98,0,,4.18
pk,dunyapur,29.799502,71.719581,68,72,0,,7.87
be,raeren,50.683333000000005,6.116667,51.1,93,0,,1.12
pk,chawinda,32.346920000000004,74.706123,62.6,72,36,,4.7
ru,zubtsov,56.175335,34.589349,50.41,92,0,,11.79
ch,gelterkinden,47.464968,7.8517399999999995,47.95,100,0,,3.36
fr,saumur,47.256629,-0.075025,54.55,87,0,,4.7
ro,vatra moldovitei,47.65,25.566667000000002,55.4,66,0,,2.24
au,perth,-31.952240000000003,115.861397,54.81,87,75,,6.93
cl,lampa,-33.283333,-70.9,61.59,48,0,,14.99
pl,lezajsk,50.260132,22.421242000000003,44.6,93,80,,3.36
cz,kutna hora,49.95,15.266667000000002,45.57,100,0,,2.24
fr,bois-guillaume,49.460196999999994,1.12219,50,87,0,,5.82
ru,bashmakovo,53.213292,43.034202,44.07,87,0,,9.44
ro,cernisoara,45.033333,23.983333,47.35,86,48,,2.95
ph,calamagui,17.442122,121.782446,74.22,100,48,,2.17
gr,sikea,36.7666667,22.9333333,67.29,100,68,,13.24
in,pathri,19.25,76.45,72.91,78,88,,2.73
ee,kohila,59.168055599999995,24.7575,48.2,76,0,,6.93
ca,glencoe,42.75,-81.7,41.09,60,1,,12.01
gb,portknockie,57.683333,-2.85,46.44,81,56,,12.75
br,pilar,-9.6,-35.933333000000005,75.2,83,40,,5.82
ru,kuzedeyevo,53.3308,87.2019,18.06,74,12,,3.06
cn,jiehu,35.542778000000006,118.455,44.61,70,0,,4.63
gb,ipswich,52.083333,1.166667,41.29,93,92,,6.93
es,mislata,39.466667,-0.416667,60.8,100,75,,6.93
gr,palaion faliron,37.9333333,23.7,58.1,87,20,,4.74
jp,uto,32.683333000000005,130.666667,59.25,100,75,,2.24
mx,suchil,23.633333,-103.916667,60.76,82,88,,3.85
jp,sugito,36.033333,139.73333300000002,59.68,82,40,,9.17
ro,beresti-sat,46.1,27.883333,48.25,88,88,,2.62
bj,bohicon,7.2,2.0666667000000003,75.21,89,0,,6.64
mx,mascota,20.516667,-104.783333,86,79,90,,8.05
ph,maxingal,18.214876999999998,121.668152,75.16,99,56,,2.84
ee,haademeeste,58.08138889999999,24.5102778,46.18,92,0,,9.78
cm,kumba,4.6438889,9.4386111,68.46,99,68,,2.62
ro,nereju,45.716667,26.716666999999998,51.99,93,80,,2.17
mx,juchitan,16.433332999999998,-95.016667,80.07,100,68,,25.32
ru,anzhero-sudzhensk,56.081,86.0285,36.42,59,68,,8.55
ro,valea danului,45.183333000000005,24.65,44.83,85,0,,2.62
dk,holeby,54.711475,11.464165,49.96,100,0,,9.78
ng,kishi,9.083333,3.85,75.03,77,0,,8.32
in,kothapet,19.333333,79.483333,66.79,84,12,,2.73
us,council bluffs,41.2619444,-95.8608333,65.62,45,1,,10.29
in,indore,22.716667,75.833333,73.4,56,0,,4.7
ph,okiot,9.566667,123.16666699999999,79.26,83,36,,2.95
pa,alto del espino,8.833333300000001,-79.85,77.83,88,75,,3.36
in,bhadravati,13.866667000000001,75.716667,69.49,100,92,,3.29
cn,choucheng,29.315056,120.07676399999998,56.71,75,24,,4.41
gb,inverness,57.466667,-4.233333,46.36,75,76,,2.24
ee,paide,58.885555599999996,25.5572222,45.78,92,0,,9.78
hu,csanytelek,46.595005,20.123419000000002,55.54,76,92,,2.24
de,cham,49.225556,12.663611,47.41,100,40,,4.52
gb,kilwinning,55.65,-4.716667,45.48,81,20,,6.93
jp,takasaki,36.333333,139.01666699999998,51.54,95,56,,2.28
in,dwarahat,29.783333000000002,79.43333299999999,47.89,64,32,,2.28
nz,hamilton,-37.783333,175.283333,68.73,41,0,,4.18
us,plaistow,42.836388899999996,-71.09527779999999,38.1,41,1,,3.36
gt,guazacapan,14.074167000000001,-90.416667,77,94,90,,11.41
by,stolin,51.8833333,26.85,47.31,79,0,,7.76
ru,vyazemskiy,47.537778,134.7525,42.27,60,64,,4.41
hu,dunabogdany,47.790517,19.041247,55.4,76,0,,2.24
ru,samoylovka,51.184,43.7081,36.78,77,0,,4.74
ro,traian,44.016667,24.45,48.2,87,24,,3.36
cz,petrvald,49.828425,18.390542,45.59,93,75,,2.24
us,bardstown,37.8091667,-85.4669444,51.04,61,1,,5.97
ph,pamantingan,6.7044440000000005,124.45888899999999,76.33,87,56,,2.73
at,herzogenburg,48.266667,15.683333,48.2,93,20,,2.24
ca,blackfalds,52.383333,-113.8,55.4,45,75,,5.82
fr,le mee-sur-seine,48.531566,2.628287,53.02,93,0,,8.05
fr,cannes,43.549744,6.9943,60.71,82,0,,6.93
it,mussomeli,37.583333,13.75,59.5,100,80,,2.06
us,yuma,32.7252778,-114.6236111,84.2,20,1,,10.29
gt,soloma,15.716667000000001,-91.45,60.72,100,92,,0.72
ph,san jose malino,15.1257,120.6727,78.8,78,75,,4.7
ca,saint-raphael,46.783333,-70.75,32,74,40,,9.17
ru,glubokiy,48.527592,40.327923,43.84,90,0,,7.54
in,dod ballapur,13.291944,77.543056,69.8,100,40,,4.7
na,grootfontein,-19.5666667,18.1166667,63.24,29,0,,8.1
us,plymouth,41.343611100000004,-86.30972220000001,49.15,49,1,,4.7
us,san marcos,33.1433333,-117.1652778,79.25,36,1,,6.93
my,gua musang,4.8823,101.9644,70.03,97,92,,1.95
ng,asaba,6.200643,6.733845,76.51,93,44,,6.31
pe,santa ana,-12.866666699999998,-72.7166667,65.31,86,0,,1.05
ru,deyskoye,43.475457,44.161823999999996,46.4,87,36,,4.47
lb,bayrut,33.8719444,35.5097222,77,69,75,,3.36
de,lorrach,47.616288,7.664842,50.59,100,0,,3.36
us,standish,43.735833299999996,-70.5525,35.65,59,1,,4.7
ro,bocsa,45.373333,21.709167,55.4,66,0,,3.36
ca,caraquet,47.783333,-64.95,33.8,55,1,,14.99
us,maryville,40.3461111,-94.87222220000001,60.39,62,1,,6.93
be,baelen,50.633333,5.966667,51.53,93,20,,9.17
in,jhinjhak,26.566667,79.733333,68.68,54,0,,2.73
bw,lehututu,-23.966666699999998,21.8666667,59.23,29,0,,3.18
ca,little current,45.966667,-81.93333299999999,44.6,65,1,,12.75
pf,mataura,-23.3666667,-149.4666667,70.08,100,100,,7.43
my,batang berjuntai,3.3833330000000004,101.416667,73.4,94,75,,4.63
py,san jose de los arroyos,-25.533333,-56.733332999999995,76.78,92,8,,4.63
us,bethalto,38.9091667,-90.0405556,56.25,62,20,,4.7
us,kenmore,47.7575,-122.2427778,65.93,55,1,,4.7
ro,budeasa,45.016667,24.85,44.83,85,0,,2.62
us,forest hill,32.671944399999994,-97.26888890000001,63.45,82,90,,10.29
gr,kato skholarion,40.4333333,23.033333300000002,55.4,82,20,,5.82
br,picos,-7.0833330000000005,-41.466667,74.94,89,0,,6.76
br,inhuma,-6.6666669999999995,-41.7,76.02,80,0,,6.53
jp,izumo,35.366667,132.76666699999998,59,77,20,,5.82
ua,pomoryany,49.640924,24.9307,45.1,82,24,,2.73
cl,san bernardo,-33.6,-70.716667,64.4,39,0,,5.82
mx,etzatlan,20.766667,-104.083333,75.7,48,68,,1.83
ph,lapog,17.742222,120.45833300000001,78.8,88,20,,2.24
gl,ilulissat,69.2166667,-51.1,6.8,50,0,,2.24
au,ulladulla,-35.359058000000005,150.472473,77,38,0,,9.17
es,hellin,38.510605,-1.7009610000000002,50,100,20,,4.7
tz,bariadi,-2.8,33.9833333,61.62,94,76,,4.18
gr,kria vrisi,40.6872222,22.3022222,55.4,82,20,,5.82
ph,salamanca,10.746546,123.530002,82.4,78,20,,1.12
la,savannakhet,16.55,104.75,74.76,96,88,,4.18
ua,trybukhivtsi,49.042506,25.450549,45.33,81,8,,0.49
us,bar harbor,44.3875,-68.2044444,36.32,40,20,,8.05
ru,gatchina,59.576389,30.128333,51.8,93,90,,13.42
cu,pinar del rio,22.4175,-83.6980556,81.69,75,0,,7.76
ro,pojejena,44.774167,21.579167,55.4,66,0,,3.36
tn,manzil tamim,36.782222,10.9875,64.4,93,20,,2.24
jp,iwatsuki,35.942778000000004,139.691944,60.69,77,75,,14.99
dk,hammel,56.257615,9.863157000000001,41.9,93,0,,5.82
ro,vladeni,44.616667,27.883333,57.2,100,90,,5.82
cu,bauta,22.9827778,-82.54638890000001,82.4,78,20,,11.41
ie,cork,51.898611100000004,-8.495833300000001,48.2,87,75,,5.82
ro,brusturi,47.15,22.25,59,82,100,,8.05
pe,azangaro,-14.916666699999999,-70.2166667,55.4,50,40,,8.05
gb,cannock,52.683333,-2.016667,41.04,100,0,,2.84
mq,fort-de-france,14.6,-61.0833333,79.34,83,92,,17.22
jp,abashiri,44.019721999999994,144.258611,41,75,20,,5.82
in,dariba,24.95,74.133333,65.13,58,8,,2.39
ph,owak,10.55,123.7,82.4,78,20,,1.12
in,akodia,23.383333,76.6,67.11,70,8,,2.73
nl,woensdrecht,51.42964,4.302153,50.31,76,12,,6.93
br,lagoa vermelha,-28.216666999999998,-51.533333,64.23,99,32,,5.97
ba,crnici,43.1288889,17.8666667,57.2,76,0,,1.12
pl,szamotuly,52.612669999999994,16.581905,50,100,0,,4.7
es,palma,39.574337,2.655222,64.4,100,20,,3.36
ph,casambalangan,18.376464000000002,122.127453,80.61,100,56,,6.98
ke,garissa,-0.45694440000000003,39.658333299999995,73.14,84,32,,4.41
cn,jishui,33.733333,115.4,50.82,63,8,,3.4
tr,aliaga,38.79975,26.972026,61.36,82,20,,3.96
jp,kure,34.233333,132.566667,61.43,76,40,,2.24
us,south salt lake,40.718888899999996,-111.8875,58.66,44,1,,6.93
us,bexley,39.968888899999996,-82.93777779999999,42.42,52,1,,3.62
co,aguachica,8.308442,-73.6166,77.37,91,0,,2.51
ug,jinja,0.42444440000000005,33.2041667,60.85,96,44,,2.84
dk,sabro,56.213327,10.034414,41.95,93,0,,3.36
mx,ahumada,30.616667,-106.516667,64.32,53,12,,12.8
ru,krasnovishersk,60.407830000000004,57.08199200000001,37.68,99,92,,7.09
sz,hluti,-27.2166667,31.616666700000003,60.54,84,80,,3.4
ph,san isidro,10.9629,124.4304,79.44,100,48,,3.96
mx,rio frio,19.35,-98.666667,67.12,55,75,,8.05
pe,san ramon,-11.133333300000002,-75.33333329999999,50.41,70,48,,1.16
li,ruggell,47.2333333,9.516666699999998,49.33,87,0,,5.82
us,redwood city,37.4852778,-122.23527779999999,72.55,56,5,,8.05
es,pilas,37.303373,-6.300969,55.89,82,0,,6.93
us,pewaukee,43.080555600000004,-88.2611111,52.84,53,1,,5.82
co,aguadas,5.611612,-75.45623499999999,64.44,82,75,,2.24
ph,gibon,11.863375999999999,122.03941,82.45,100,44,,10.0
hu,zsombo,46.325656,19.974638,56.25,72,90,,5.82
be,comblain-au-pont,50.466667,5.5833330000000005,51.8,93,20,,9.17
ph,baloc,15.6435,120.8852,78.8,78,75,,4.7
ph,binguang,17.461944,121.78277800000001,74.22,100,48,,2.17
gt,cabrican,15.133332999999999,-91.616667,75.2,94,90,,1.05
be,glabbeek,50.866667,4.95,52.72,87,40,,1.12
cn,heze,35.243056,115.441111,46.09,87,0,,2.84
hu,gyorszemere,47.552558000000005,17.563561,48.2,87,0,,3.36
gb,brentwood,51.616667,0.31666700000000003,44.1,87,68,,3.36
ua,zaozerne,45.158156,33.278663,61.98,100,44,,3.62
us,aurora,41.3175,-81.3455556,43.18,69,1,,5.64
jp,tatsuno,34.866667,134.55,60.82,100,75,,3.36
ug,kabale,-1.3261111,30.003888899999996,55.41,100,64,,2.95
bs,marsh harbour,26.55,-77.05,80.2,100,92,,15.82
gr,kato assos,37.95,22.8333333,59,87,20,,3.06
pa,los algarrobos,8.5,-82.4333333,73.4,100,75,,2.24
br,campina grande do sul,-25.3,-49.083333,62.6,93,0,,3.36
ca,havelock,44.433333000000005,-77.883333,38.3,64,20,,6.93
ph,palsong,13.4248,123.2963,81.46,100,44,,6.31
ga,lambarene,-0.7,10.2166667,74.94,99,92,,2.17
co,cubarral,3.7935239999999997,-73.840634,80.6,74,75,,1.95
us,sedona,34.8697222,-111.7602778,58.48,36,1,,3.36
kg,talas,42.5222222,72.24194440000001,22.96,80,88,,2.39
bg,saedinenie,42.2666667,24.55,53.6,87,0,,1.72
ru,tambov,52.731689,41.443262,40.56,79,0,,4.74
gt,san jose,13.925556,-90.824444,77,94,90,,11.41
sv,san pedro masahuat,13.5436111,-89.0386111,71.51,94,75,,4.7
ro,ciugud,46.05,23.616667,47.46,87,0,,2.24
mm,taungdwingyi,20.0166667,95.55,69.81,92,36,,2.39
pk,pano aqil,27.856848,69.111564,62.79,47,0,,2.84
us,lansing,41.5647222,-87.5388889,51.51,63,5,,4.7
dk,hvide sande,55.996387,8.127307,41.94,100,0,,3.36
ph,tuka,6.52,124.585,74.22,100,92,,3.51
hn,reitoca,13.825833300000001,-87.4652778,72.59,73,75,,3.36
ng,ode,7.645671000000001,5.552041,72.01,96,0,,9.1
us,vernon hills,42.21944439999999,-87.9794444,53.08,49,1,,4.7
gt,el tumbador,14.866667000000001,-91.93333299999999,75.2,100,90,,9.17
ph,biga,13.904012,120.648754,81.33,100,0,,12.8
ph,paatan,7.075278,124.95,75.12,96,88,,3.18
fr,paray-le-monial,46.454574,4.115844,46.4,87,0,,4.63
ro,ladesti,44.883333,24.05,48.2,87,48,,3.36
pl,kutno,52.228953999999995,19.361672,50,100,0,,1.12
fr,selestat,48.259322999999995,7.4542850000000005,55.4,82,0,,6.93
br,barcelos,-1.0,-62.966667,84.34,74,0,,5.41
ph,pantubig,14.968055999999999,120.954722,79.72,78,75,,4.7
pt,famoes,38.788041,-9.210332000000001,64.15,72,0,,14.99
rs,kusadak,44.399722,20.803333,52.63,67,0,,1.12
dk,lojt kirkeby,55.083332999999996,9.466667,40.28,100,20,,2.24
sd,tawkar,18.4333333,37.7333333,83.67,90,12,,5.3
us,greenfield,42.961388899999996,-88.0125,53.01,53,1,,5.82
es,camargo,43.407436,-3.884978,62.6,93,88,,4.7
km,moroni,-11.704166699999998,43.2402778,77.82,100,56,,4.97
co,inza,2.551295,-76.065455,54.55,98,68,,2.06
no,kongsvinger,60.2,12.0,34.98,91,0,,2.39
ro,ionesti,44.85,24.233333,48.2,87,48,,3.36
au,healesville,-37.65395,145.517181,68.99,52,0,,26.4
ph,calaya,10.4916,122.6255,79.84,100,48,,6.2
in,bijapur,16.833333,75.7,65.94,98,48,,3.06
es,premia de mar,41.492256,2.359029,66.72,68,0,,6.93
jp,hino,35.673056,139.40027800000001,60.37,77,75,,14.99
hu,biharnagybajom,47.216667,21.233333,59,82,92,,8.05
ru,berdsk,54.7551,83.0967,39.2,64,90,,11.18
mx,mixtepec,16.083333,-97.1,78.8,69,90,,0.83
bo,samaipata,-18.15,-63.8666667,77.91,64,24,,5.19
ca,south river,45.85,-79.366667,37.4,69,75,,19.46
ro,valea moldovei,47.466667,26.033333,55.4,66,0,,2.24
ru,gazimurskiy zavod,51.5461,118.3266,28.77,75,0,,4.07
sk,leopoldov,48.45,17.7666667,49.03,81,80,,3.36
hu,janoshalma,46.298611,19.325833,59,72,90,,5.82
nz,oxford,-43.3,172.183333,69.8,52,8,,5.82
co,tauramena,5.01831,-72.749187,81.46,70,20,,3.96
ir,bukan,36.521,46.2089,37.63,82,0,,3.06
ru,imeni karla libknekhta,51.6195,35.4763,46.81,80,0,,7.31
ro,nuseni,47.1,24.2,55.4,71,0,,3.36
ba,teslic,44.6063889,17.859722199999997,50,100,64,,1.12
pl,gora kalwaria,51.981528999999995,21.215053,50,93,12,,4.7
ru,troitsk,54.0979,61.5773,32.05,84,56,,8.55
in,babra,21.85,71.3,73.81,54,0,,3.4
us,superior,46.720833299999995,-92.10388890000002,60.8,45,1,,16.11
tz,matongo,-2.3833333,34.0833333,60.58,97,76,,4.18
ru,dzhubga,44.3211,38.7073,48.39,94,0,,1.72
in,kapurthala,31.379444,75.384722,62.6,88,0,,14.03
in,lakhtar,22.85,71.783333,71.11,69,0,,2.84
hu,villany,45.868889,18.453889,53.6,76,0,,4.7
ru,bisert,56.86174200000001,59.052312,34.75,97,92,,6.76
co,cocorna,6.0572989999999995,-75.185241,66.43,82,75,,2.24
ru,zaterechnyy,44.793056,45.209722,48.16,87,12,,7.65
in,mayang imphal,24.616667,93.883333,56.71,86,0,,2.62
it,canegrate,45.566666999999995,8.933333,55.38,93,0,,5.82
hu,hajdubagos,47.4,21.666667,59,82,92,,8.05
no,dale,61.783333,9.5,21.48,89,0,,2.06
ru,volodarsk,56.231051,43.187671,46.4,93,0,,6.71
br,rio casca,-20.216667,-42.65,69.04,94,36,,3.51
ph,santa rita,14.9974,120.6183,79.45,78,75,,4.7
us,scranton,41.408888899999994,-75.66277779999999,36.34,60,1,,6.93
mg,taolanaro,-25.033333300000002,47.0,69.8,88,75,,9.17
cn,mingguang,32.780169,117.963776,57.16,81,36,,8.43
bw,nokaneng,-19.6666667,22.2666667,71.65,23,0,,12.01
gt,san juan ixcoy,15.599722,-91.445278,60.72,100,92,,0.72
gb,galashiels,55.6,-2.816667,36.19,93,0,,2.24
tw,tienchung,23.860277800000002,120.5852778,73.4,78,75,,2.24
cn,zunyi,27.543056,106.82305600000001,54.19,99,92,,6.31
de,dietzenbach,50.016667,8.783333,55.89,76,20,,9.17
ph,salcedo,12.810516,121.46741499999999,76.96,89,20,,2.73
pt,gafanha da encarnacao,40.618058000000005,-8.733025999999999,61.74,82,0,,8.05
us,adrian,41.8975,-84.0372222,45.55,60,1,,5.82
fr,saint-mande,48.838642,2.415791,52.84,81,0,,9.17
ca,berthierville,46.083333,-73.166667,37.4,40,1,,14.99
ph,biking,9.592222,123.84611100000001,76.33,100,68,,3.96
ru,leshukonskoye,64.898939,45.762196,40.47,98,92,,2.62
cn,yakeshi,49.283333,120.733333,30.34,66,0,,7.76
gt,el palmar,14.65,-91.583333,75.2,94,90,,7.76
gb,carnwath,55.683333,-3.6333330000000004,42.28,93,0,,2.24
hu,nyirmeggyes,47.916667,22.266667,55.4,93,92,,3.36
us,paterson,40.9166667,-74.17222220000001,43.39,60,1,,4.85
us,lawrenceville,33.9561111,-83.9880556,64.63,67,1,,5.75
gr,xirokambion,36.966666700000005,22.45,59,82,24,,2.51
mx,rincon viejo,16.9,-95.05,71.2,97,88,,14.7
ph,bungahan,13.942863000000001,120.661775,81.33,100,0,,12.8
id,talang,-6.9,109.13333300000001,72.73,89,44,,3.06
hn,san antonio del norte,13.883333300000002,-87.7,72.5,73,75,,3.36
be,chievres,50.583333,3.8,50.47,93,24,,3.36
ro,nehoiu,45.416667,26.3,46.36,87,44,,1.61
ci,aboisso,5.4677940000000005,-3.2071110000000003,76.24,97,64,,4.63
pa,chiriqui,8.4,-82.3166667,73.4,100,75,,2.24
ml,tessalit,20.2013889,1.0088889,68.82,34,0,,2.95
br,pancas,-19.233333,-40.85,72.01,99,88,,3.29
ml,bougouni,11.416666699999999,-7.4833333,69.31,99,88,,4.85
us,endicott,42.0983333,-76.0497222,30.9,69,1,,3.36
hn,el ermitano,15.25,-88.6833333,78.8,94,75,,1.83
pe,zorritos,-3.6666667,-80.66666670000001,73.4,78,40,,4.7
nl,voorschoten,52.13098,4.465828,48.72,93,8,,6.93
ph,san isidro,9.5591,125.6768,81.69,95,32,,3.62
us,haysville,37.5644444,-97.35194440000001,62.6,42,20,,10.29
ru,razvilka,55.59209,37.740853,49.37,71,0,,4.47
jp,kariya,34.983333,136.98333300000002,63.66,77,20,,4.7
us,bristol,36.596388899999994,-82.18861109999999,47.28,76,1,,3.06
es,villaviciosa de odon,40.356922999999995,-3.9001069999999998,58.24,100,40,,10.29
ru,pleshanovo,52.833332999999996,53.483332999999995,36.19,81,20,,6.87
